Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,20050189882
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1.45468E+12
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,1.72885E+11
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,4352734313
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,1717861730
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,15880203581
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,2.41705E+12
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,18523988467
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,16777820333
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1.78378E+12
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,2.58733E+11
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1.04824E+13
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,3.78416E+11
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,57136241867
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,..
GDP (current US$),NY.GDP.MKTP.CD,Czech Republic,CZE,2.07818E+11
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,3.46119E+11
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,2.72463E+11
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,2.83916E+12
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,3.87928E+12
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,38616536132
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,2.3608E+11
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,19380958759
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,2.91229E+11
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,1.39295E+11
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,17036097482
GDP (current US$),NY.GDP.MKTP.CD,India,IND,2.04244E+12
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,8.90487E+11
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,4.25326E+11
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,2.28731E+11
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,2.56271E+11
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,2.14981E+12
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,3.08769E+11
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,4.84873E+12
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,2.21416E+11
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People’s Rep.",PRK,..
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,64873963098
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,3.38069E+11
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,10737561364
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,1.29818E+12
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,65574726566
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,19811974852
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,8.79635E+11
GDP (current US$),NY.GDP.MKTP.CD,Nicaragua,NIC,11790221756
GDP (current US$),NY.GDP.MKTP.CD,Norway,NOR,4.9834E+11
GDP (current US$),NY.GDP.MKTP.CD,Pakistan,PAK,2.44361E+11
GDP (current US$),NY.GDP.MKTP.CD,Philippines,PHL,2.84834E+11
GDP (current US$),NY.GDP.MKTP.CD,Poland,POL,5.45159E+11
GDP (current US$),NY.GDP.MKTP.CD,Puerto Rico,PRI,..
GDP (current US$),NY.GDP.MKTP.CD,Saudi Arabia,SAU,7.53832E+11
GDP (current US$),NY.GDP.MKTP.CD,Serbia,SRB,44210806366
GDP (current US$),NY.GDP.MKTP.CD,Singapore,SGP,3.06344E+11
GDP (current US$),NY.GDP.MKTP.CD,Slovenia,SVN,49530147016
GDP (current US$),NY.GDP.MKTP.CD,South Africa,ZAF,3.51305E+11
GDP (current US$),NY.GDP.MKTP.CD,Thailand,THA,4.0432E+11
GDP (current US$),NY.GDP.MKTP.CD,Turkey,TUR,7.98782E+11
GDP (current US$),NY.GDP.MKTP.CD,United Arab Emirates,ARE,4.01958E+11
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,1.73931E+13
GDP (current US$),NY.GDP.MKTP.CD,Uganda,UGA,27760811823
GDP (current US$),NY.GDP.MKTP.CD,Vietnam,VNM,1.86205E+11
GDP (current US$),NY.GDP.MKTP.CD,Uruguay,URY,57235766825
GDP (current US$),NY.GDP.MKTP.CD,Zimbabwe,ZWE,14196912500
GDP (current US$),NY.GDP.MKTP.CD,Sierra Leone,SLE,5015157816
GDP (current US$),NY.GDP.MKTP.CD,Russian Federation,RUS,2.05281E+12
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,16509305828
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,11609512940
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,..
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,1.09881E+11
GDP (current US$),NY.GDP.MKTP.CD,Portugal,PRT,2.30117E+11
GDP (current US$),NY.GDP.MKTP.CD,Panama,PAN,49165773079
GDP (current US$),NY.GDP.MKTP.CD,Switzerland,CHE,7.02706E+11
GDP (current US$),NY.GDP.MKTP.CD,Sweden,SWE,5.73818E+11
GDP (current US$),NY.GDP.MKTP.CD,Spain,ESP,1.38134E+12
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,5.29726E+11
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,2.99883E+12
GDP (current US$),NY.GDP.MKTP.CD,Ukraine,UKR,1.33503E+11
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,13219857459
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,4.38376E+11
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,32996237337
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,3.01499E+11
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,55612228234
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,13897561173
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,16961127046
GDP (current US$),NY.GDP.MKTP.CD,Trinidad and Tobago,TTO,26175906133
GDP (current US$),NY.GDP.MKTP.CD,Greenland,GRL,2441226080
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,1.312530908
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,2.499851222
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,6.061093054
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,0.198484302
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,4.083494924
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,3.204940167
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,0.103371359
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,1.08187567
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,7.071525352
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,2.472892638
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chile,CHL,1.876395397
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,7.297665959
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Colombia,COL,4.385710901
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Croatia,HRV,-0.360434269
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cuba,CUB,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Czech Republic,CZE,2.715116132
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Denmark,DNK,1.261905838
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Finland,FIN,-0.708430321
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,France,FRA,0.636621653
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,1.595338098
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ghana,GHA,3.985865624
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Greece,GRC,0.352849233
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Honduras,HND,3.085214961
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Hong Kong SAR, China",HKG,2.68193502
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Hungary,HUN,4.04732118
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iceland,ISL,1.826660454
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,7.243471746
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Indonesia,IDN,5.023889052
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Iran, Islamic Rep.",IRN,4.343343402
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Iraq,IRQ,0.060108872
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Ireland,IRL,8.462366745
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Italy,ITA,0.091894998
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Israel,ISR,3.163047034
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,0.335664786
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Kazakhstan,KAZ,4.2
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Korea, Dem. People’s Rep.",PRK,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Luxembourg,LUX,4.069293381
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Malaysia,MYS,6.01216652
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Malta,MLT,3.460979157
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Mexico,MEX,2.245308567
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Myanmar,MMR,7.991243344
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nepal,NPL,5.988984661
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Netherlands,NLD,1.419690296
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Nicaragua,NIC,4.565212146
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Norway,NOR,1.918819526
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Pakistan,PAK,4.674707981
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Philippines,PHL,6.218425752
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Poland,POL,3.282570093
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Puerto Rico,PRI,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Saudi Arabia,SAU,3.638699049
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Serbia,SRB,-1.831301107
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Singapore,SGP,3.260015288
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Slovenia,SVN,3.106280193
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Africa,ZAF,1.628871543
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Thailand,THA,0.817633102
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Turkey,TUR,3.020118213
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United Arab Emirates,ARE,3.079884331
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,2.370457671
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uganda,UGA,5.183828963
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Vietnam,VNM,5.983654637
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Uruguay,URY,3.238791216
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Zimbabwe,ZWE,3.848290307
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sierra Leone,SLE,4.556772366
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Russian Federation,RUS,0.70637056
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Georgia,GEO,4.623331907
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,3.6
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Monaco,MCO,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Morocco,MAR,2.551044668
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Portugal,PRT,0.905793618
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Panama,PAN,6.053333957
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Switzerland,CHE,1.996886159
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sweden,SWE,2.604326565
