,Country Name,"Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Gross enrolment ratio, pre-primary, female (%)","Labor force participation rate for ages 15-24, female (%) (national estimate)","Labor force participation rate, female (% of female population ages 15+) (national estimate)","Population, female (% of total)",Proportion of seats held by women in national parliaments (%),"School enrollment, primary, female (% gross)","School enrollment, secondary, female (% gross)","School enrollment, tertiary, female (% gross)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)"
0,Afghanistan,,,20050189882.0,1.31,633.95,-1.71,,,,48.46,27.7,91.76,39.67,3.67,,
1,Albania,,,13219857459.0,1.8,4568.57,1.91,87.46,,,50.26,20.0,111.17,92.61,73.83,15.2,
2,Argentina,43.79999924,23.39999962,5.29726e+11,-2.56,12324.94,-3.56,,30.2,47.8,51.07,36.6,,,,8.4,22.4
3,Armenia,,,11609512940.0,3.6,3861.92,3.12,,,,52.78,10.7,,,48.5,,
4,Australia,55.0,58.0,1.45468e+12,2.5,61995.83,0.99,,66.2,58.6,50.02,26.0,,,,6.2,12.5
5,Austria,52.29999924,49.90000153,4.38376e+11,0.64,51322.64,-0.09,101.22,55.4,55.3,50.96,32.2,101.7,96.93,87.6,5.4,9.9
6,Bangladesh,,,1.72885e+11,6.06,1086.8,4.78,,,,49.51,19.8,,,11.39,,
7,Barbados,,,4352734313.0,0.2,15360.06,-0.11,85.67,,,52.07,16.7,94.17,110.68,,,
8,Belize,,,1717861730.0,4.08,4884.37,1.86,50.83,,,50.12,3.1,108.95,81.71,,,
9,Bolivia,,,32996237337.0,5.46,3124.09,3.84,,,,49.91,53.1,,,,,
10,Bosnia and Herzegovina,,,18523988467.0,1.08,4852.32,1.24,14.4,,,50.23,21.4,100.4,90.05,54.68,,
11,Botswana,,,15880203581.0,3.2,7153.45,1.19,,,,50.04,9.5,,,31.83,,
12,Brazil,,,2.41705e+12,0.1,11728.8,-0.78,,,48.2,50.81,9.9,,,,5.8,
13,Cambodia,,,16777820333.0,7.07,1094.58,5.33,17.56,,,51.23,20.3,113.14,,,,
