Country Name,"Children in employment, study and work, female (% of female children in employment, ages 7-14)","Contributing family workers, female (% of female employment)","Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","Employers, female (% of female employment)","Employment in agriculture, female (% of female employment)","Employment in industry, female (% of female employment)","Employment in services, female (% of female employment)","Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, ages 15-24, female (%) (national estimate)",Female headed households (% of households with a female head),"Female legislators, senior officials and managers (% of total)",Firms with female participation in ownership (% of firms),Firms with female top manager (% of firms),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Gross enrolment ratio, pre-primary, female (%)","Informal employment, female (% of total non-agricultural employment)","Labor force participation rate for ages 15-24, female (%) (national estimate)","Labor force participation rate, female (% of female population ages 15+) (national estimate)",Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),"Literacy rate, youth female (% of females ages 15-24)","Long-term unemployment, female (% of female unemployment)","Part time employment, female (% of total female employment)","Percentage of female teachers in primary education who are trained, female (%)","Percentage of female teachers in secondary education who are trained, female (%)","Population, female (% of total)",Proportion of seats held by women in national parliaments (%),"School enrollment, primary, female (% gross)","School enrollment, secondary, female (% gross)","School enrollment, tertiary, female (% gross)","Self-employed, female (% of female employment)","Share of youth not in education, employment, or training, female (% of female youth population)","Tertiary education, academic staff (% female)","Unemployment with primary education, female (% of female unemployment)","Unemployment with secondary education, female (% of female unemployment)","Unemployment with tertiary education, female (% of female unemployment)","Unemployment, female (% of female labor force) (national estimate)","Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Wage and salaried workers, female (% of female employment)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Afghanistan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2,4.7,20050189882,1.31,633.95,-1.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.46,27.7,91.76,39.67,3.67,NaN,NaN,10.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13219857459,1.8,4568.57,1.91,87.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.26,20,111.17,92.61,73.83,NaN,NaN,52.36,NaN,NaN,NaN,15.2,NaN,NaN,NaN
Argentina,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.200000003,8.5,90.69999695,43.79999924,23.39999962,NaN,NaN,NaN,NaN,5.29726E+11,-2.56,12324.94,-3.56,NaN,NaN,30.2,47.8,NaN,99.46,NaN,NaN,NaN,NaN,51.07,36.6,NaN,NaN,NaN,NaN,NaN,NaN,33.3,50.6,13.5,8.4,22.4,NaN,NaN
Armenia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11609512940,3.6,3861.92,3.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.78,10.7,NaN,NaN,48.5,NaN,NaN,57.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Australia,NaN,NaN,0.71031,26.84977,5.1616,91.36972,42.42926,NaN,69.81177,NaN,NaN,NaN,NaN,55,58,NaN,NaN,NaN,NaN,1.45468E+12,2.5,61995.83,0.99,NaN,NaN,66.2,58.6,NaN,NaN,20.8,38.2,NaN,NaN,50.02,26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2,12.5,NaN,NaN
Austria,NaN,2.099999905,0.79656,11.30437,9.57122,98.66513,26.5978,NaN,71.52903,2.400000095,4.099999905,12.80000019,83.09999847,52.29999924,49.90000153,NaN,NaN,NaN,NaN,4.38376E+11,0.64,51322.64,-0.09,101.22,NaN,55.4,55.3,NaN,NaN,25.9,34.8,NaN,NaN,50.96,32.2,101.7,96.93,87.6,10.5,7.43,42.55,30.6,44.8,24.7,5.4,9.9,89.5,NaN
Bangladesh,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5,NaN,NaN,NaN,1.72885E+11,6.06,1086.8,4.78,NaN,NaN,NaN,NaN,NaN,84.64,NaN,NaN,NaN,NaN,49.51,19.8,NaN,NaN,11.39,NaN,NaN,17.59,NaN,NaN,NaN,NaN,NaN,NaN,47.2
Barbados,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4352734313,0.2,15360.06,-0.11,85.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,52.07,16.7,94.17,110.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Belize,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1717861730,4.08,4884.37,1.86,50.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.39,50.3,50.12,3.1,108.95,81.71,NaN,NaN,NaN,50.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32996237337,5.46,3124.09,3.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.91,53.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
